taxa,3329_11-01-16,6100_12-27-16,1894_04-24-18,6070_08-30-17,6037_07-10-18,3660_09-20-16,5702_04-26-16,8118_02-09-16,1320_03-23-16,4489_11-17-15,4374_02-28-17,8186_11-22-16,6995_03-15-16,5338_08-04-17,0010_07-09-16,7786_11-08-16,7953_05-15-18,5287_10-19-16,4759_08-16-16,5913_01-24-17,4100_01-03-17,1203_01-23-17,4657_08-23-16,4582_05-23-17,9059_02-02-16,0963_05-23-17,1985_06-07-16,9591_03-14-17,1709_09-19-17,9120_02-09-16,8120_05-22-18,7768_08-15-17,3369_08-07-18,3898_12-27-16,8633_04-19-16,3227_08-15-17,3899_06-13-18,8507_05-03-16,2651_11-22-16,6753_10-30-18,4471_01-03-17,1593_09-12-17,7005_02-14-18,5975_07-18-17,5890_09-27-16,8012_12-09-15,9190_03-14-18,5160_07-19-16,6673_12-07-16,8344_05-02-17,9176_03-29-16,7551_11-02-16,3836_02-27-17,5432_01-27-16,2045_08-21-17,4954_11-23-16,3315_06-07-16,0354_01-10-17,0904_07-10-17,7660_05-01-18,4018_01-05-16,3321_03-08-16,3921_07-18-17,5600_07-10-17,0677_08-19-17,4546_04-26-16,9371_10-16-18,4913_03-07-17,3955_08-25-17,8158_04-12-16,3545_12-13-16,2409_08-02-16
Candidatus Doolittlea,0,0,1,0,0,0,3,0,0,4,3,1,0,0,0,0,0,0,0,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0
Candidatus Hoaglandella,0,1,0,0,1,0,0,0,2,7,0,0,1,0,0,0,0,0,0,2,2,0,0,1,4,0,0,0,0,0,1,2,0,0,2,0,1,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,16,0,1,0,0
Candidatus Mikella,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
Candidatus Gullanella,0,0,0,0,0,1,0,0,0,5,0,1,12,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,11,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Candidatus Blochmannia,0,0,1,4,0,2,3,0,1,6,2,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,9,0,0,5,0,1,0,0,0,3,28,0,0,0,2,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,5,4,0,10,0,1,0,0
Candidatus Westeberhardia,0,0,0,0,0,0,0,0,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0
Candidatus Hamiltonella,0,0,0,0,0,0,0,0,0,10,6,1,0,1,0,0,1,0,0,1,1,0,0,0,3,0,0,1,0,2,0,0,0,8,0,21,0,0,0,0,0,0,6,2,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,2,0,0,0,11,0,1,0,0
Candidatus Regiella,0,0,2,0,0,0,0,0,0,3,5,0,1,0,0,0,1,0,0,3,3,0,0,0,6,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,1,0,0,0
Thorsellia,0,0,2,1,0,0,1,0,0,1,3,0,7,1,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,2,0,0,0,2,0,0,0,0,1,4,2,1,1,10,0,0,0,0,0,0,0,0,0,16,0,1,0,1,0,2,0,0,7,0,0,3,0,10,0,1,0,0
Erwinia,1,1,27,10,2,7,109,1,38,175,76,43,134,46,5,1,0,1,0,56,50,0,2,49,262,0,139,126,2,20,1,2,29,36,7,47,30,2,33,7,5,2,214,94,11,1,12,37,5,1,2,17,1,110,70,1,1,3,0,18,5,3,35,33,74,27,1,1623,35,51,0,0
